                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.63032,                0.65588,                 2.1986,                0.37208,                0.41414,                0.40574,                 0.3054,                 1.0215,                 2.3352,                 2.6361,             0.00021044,             0.00021044,             0.00021044
                     70,                0.63838,                0.66356,                 2.1906,                 0.3975,                0.36331,                0.39844,                0.30618,                0.94713,                 2.2761,                 2.5605,             0.00020425,             0.00020425,             0.00020425
                     71,                 0.6704,                 0.6858,                  2.232,                0.32731,                0.44455,                0.39685,                0.30441,                0.97121,                 2.2733,                 2.6409,             0.00019806,             0.00019806,             0.00019806
                     72,                0.64276,                0.66105,                 2.1215,                0.41316,                0.33204,                0.39231,                0.30449,                0.97444,                 2.2457,                 2.5675,             0.00019188,             0.00019188,             0.00019188
                     73,                0.65279,                0.64856,                   2.13,                 0.3861,                0.39996,                0.38125,                0.29236,                0.97817,                 2.2796,                 2.5856,             0.00018569,             0.00018569,             0.00018569
                     74,                0.63267,                0.64214,                 2.1187,                0.36399,                0.37372,                0.39643,                0.30874,                0.96925,                 2.2211,                 2.5662,              0.0001795,              0.0001795,              0.0001795
                     75,                0.61667,                0.61623,                 2.1588,                0.41861,                0.35992,                0.40891,                0.31202,                 1.0085,                 2.2447,                 2.6603,             0.00017331,             0.00017331,             0.00017331
                     76,                0.63407,                0.63424,                 2.1778,                0.31207,                0.42903,                0.41685,                 0.3178,                0.99667,                 2.2615,                  2.598,             0.00016713,             0.00016713,             0.00016713
                     77,                0.61852,                0.63894,                 2.1414,                0.46955,                0.31892,                0.42091,                0.32872,                0.96395,                  2.258,                  2.591,             0.00016094,             0.00016094,             0.00016094
                     78,                0.62239,                0.63849,                 2.1634,                0.52093,                0.33156,                0.41709,                0.32955,                 0.9478,                 2.2781,                 2.5424,             0.00015475,             0.00015475,             0.00015475
                     79,                0.60244,                0.58332,                 2.1082,                0.52498,                0.32544,                0.41592,                0.32226,                0.91465,                 2.2606,                  2.487,             0.00014856,             0.00014856,             0.00014856
                     80,                0.59788,                0.59861,                 2.0743,                 0.4006,                0.39035,                0.41541,                0.32671,                0.91075,                 2.3188,                 2.5023,             0.00014237,             0.00014237,             0.00014237
                     81,                0.62307,                0.62277,                 2.1808,                0.45885,                0.32641,                0.40868,                0.31656,                0.96454,                 2.3107,                 2.5687,             0.00013619,             0.00013619,             0.00013619
                     82,                0.57293,                0.58493,                 2.0905,                0.42197,                0.35391,                 0.4161,                0.32838,                0.94197,                 2.2744,                  2.537,                0.00013,                0.00013,                0.00013
                     83,                0.62994,                0.62562,                 2.1294,                0.58067,                0.31155,                0.42036,                0.33409,                0.91556,                 2.2498,                 2.5402,             0.00012381,             0.00012381,             0.00012381
                     84,                0.58058,                 0.6019,                  2.091,                0.36736,                0.40487,                0.40878,                 0.3211,                0.92657,                 2.3017,                 2.5341,             0.00011763,             0.00011763,             0.00011763
                     85,                0.58932,                0.60089,                 2.0702,                0.38127,                0.37896,                0.40936,                0.32406,                0.93958,                 2.3006,                 2.5428,             0.00011144,             0.00011144,             0.00011144
